,topic_match,senti,length,sat
927,1,1.0,45,0
928,0,1.0,117,1
929,1,1.0,42,0
930,1,1.0,87,1
931,1,1.0,62,0
932,0,1.0,63,0
933,1,1.0,210,1
934,0,1.0,31,0
935,1,1.0,38,0
936,1,1.0,39,0
937,1,1.0,43,0
938,0,1.0,115,1
939,1,1.0,115,0
940,1,1.0,33,0
941,1,1.0,77,1
942,0,1.0,29,0
943,1,1.0,38,0
944,0,1.0,36,0
945,1,1.0,27,0
946,1,1.0,52,0
947,0,1.0,21,0
948,1,1.0,246,1
949,1,1.0,137,1
950,0,1.0,35,0
951,1,1.0,139,1
952,1,1.0,20,0
953,1,1.0,27,0
954,1,1.0,115,0
955,0,1.0,45,0
956,1,1.0,49,0
957,1,1.0,157,0
958,1,1.0,54,0
959,0,1.0,54,0
960,1,1.0,62,0
961,1,1.0,197,1
962,1,1.0,30,0
963,1,1.0,99,0
964,0,1.0,43,0
965,1,1.0,88,0
966,1,1.0,62,0
967,0,1.0,38,0
968,1,1.0,19,0
969,1,1.0,136,1
970,1,1.0,151,1
971,0,1.0,77,0
972,0,1.0,52,0
973,1,1.0,73,0
974,1,1.0,51,0
975,0,1.0,31,0
976,1,1.0,46,0
977,1,1.0,48,0
978,1,1.0,53,1
979,0,1.0,47,0
980,1,1.0,43,0
981,1,1.0,24,0
982,0,1.0,134,0
983,0,1.0,31,0
984,0,1.0,155,1
985,1,1.0,188,1
986,1,1.0,143,1
987,1,1.0,199,1
988,1,1.0,143,1
989,1,1.0,32,0
990,1,1.0,156,1
991,1,1.0,58,0
992,0,1.0,136,1
993,0,1.0,49,0
994,1,1.0,30,0
995,1,1.0,74,0
996,0,1.0,63,0
997,0,1.0,43,0
998,1,1.0,18,0
999,1,1.0,62,1
1000,1,1.0,60,0
1001,0,1.0,24,0
1002,1,1.0,223,1
1003,0,1.0,74,1
1004,1,1.0,70,0
1005,1,1.0,23,0
1006,0,1.0,69,1
1007,0,1.0,73,0
1008,1,1.0,30,0
1009,0,1.0,22,0
1010,1,1.0,50,1
1011,1,1.0,96,1
1012,1,1.0,81,1
1013,1,1.0,25,0
1014,1,1.0,77,1
1015,0,1.0,178,0
1016,1,1.0,111,1
1017,1,1.0,134,0
1018,0,1.0,95,1
1019,1,1.0,113,1
1020,1,1.0,60,0
1021,0,1.0,48,0
1022,1,1.0,196,1
1023,1,1.0,15,0
1024,1,1.0,30,0
1025,1,1.0,69,0
1026,1,1.0,36,0
1027,1,1.0,33,0
1028,1,1.0,43,0
1029,0,1.0,49,0
1030,1,1.0,24,1
1031,1,1.0,127,1
1032,0,1.0,60,1
1033,0,1.0,34,0
1034,1,1.0,30,1
1035,0,1.0,73,1
1036,1,1.0,121,1
1037,0,1.0,30,0
1038,0,1.0,42,0
1039,1,1.0,71,1
1040,1,1.0,75,1
1041,1,1.0,18,0
1042,0,1.0,38,0
1043,1,1.0,178,1
1044,0,1.0,36,0
1045,1,1.0,16,0
1046,1,1.0,15,0
1047,1,1.0,79,1
1048,1,1.0,165,1
1049,1,1.0,131,1
1050,0,1.0,29,0
1051,0,1.0,105,1
1052,1,1.0,23,0
1053,1,1.0,33,1
1054,0,1.0,213,1
1055,1,1.0,79,1
1056,1,1.0,79,1
1057,1,1.0,63,1
1058,1,1.0,140,1
1059,1,1.0,62,1
1060,1,1.0,49,1
1061,0,1.0,46,1
1062,0,1.0,48,0
1063,0,1.0,126,1
1064,1,1.0,68,1
1065,1,1.0,85,1
1066,1,1.0,180,1
1067,0,1.0,42,0
1068,1,1.0,38,0
1069,0,1.0,67,1
1070,1,1.0,149,1
1071,1,1.0,110,1
1072,0,1.0,97,1
1073,0,1.0,38,0
1074,1,1.0,113,1
1075,1,1.0,127,1
1076,1,1.0,51,1
1077,0,1.0,113,1
1078,0,1.0,116,1
1079,1,1.0,139,0
1080,1,1.0,61,1
1081,1,1.0,63,0
1082,0,1.0,97,1
1083,1,1.0,85,1
1084,0,1.0,70,1
1085,1,1.0,147,0
1086,0,1.0,38,1
1087,1,1.0,105,1
1088,0,1.0,27,0
1089,1,1.0,46,0
1090,1,1.0,35,0
1091,1,1.0,26,0
1092,1,0.0,17,1
1093,0,1.0,84,1
1094,1,1.0,66,0
1095,1,1.0,21,0
1096,0,1.0,64,1
1097,1,1.0,43,0
1098,1,1.0,120,1
1099,1,1.0,47,1
1100,1,1.0,78,1
1101,0,1.0,53,0
1102,1,1.0,66,1
1103,1,1.0,134,1
1104,1,1.0,70,0
1105,1,1.0,95,1
1106,1,1.0,37,1
1107,0,1.0,60,0
1108,0,1.0,54,1
1109,0,1.0,49,1
1110,1,1.0,62,1
1111,1,1.0,14,0
1112,1,1.0,41,1
1113,0,1.0,121,0
1114,1,1.0,44,1
1115,1,1.0,43,0
1116,0,1.0,46,1
1117,1,1.0,55,1
1118,1,1.0,59,1
1119,1,1.0,28,0
1120,1,1.0,170,1
1121,1,1.0,17,0
1122,1,1.0,17,0
1123,1,1.0,168,1
1124,0,1.0,47,1
1125,0,1.0,27,0
1126,1,1.0,79,1
1127,1,1.0,48,1
1128,1,1.0,103,1
1129,1,1.0,26,0
1130,1,1.0,26,0
1131,1,1.0,182,1
1132,1,1.0,55,1
